STOCK MOLDES TROQUEL,,,,,STOCK MOLDES TROQUEL FARMACEUTICO,,,,,STOCK MOLDES TROQUEL INDUSTRIAL,,,,,STOCK MOLDES INNPACK CORRUGADO,,,,,
NP / MOLDE,CLIENTE,RACK,PERFIL,,NP / MOLDE,CLIENTE,RACK,PERFIL,,NP / MOLDE,CLIENTE,RACK,PERFIL,,NP / MOLDE,CLIENTE,RACK,OBSERVACIONES,PERFIL,
11858,BAGO,8,,,,,,,,,,,,,,,,,,
14185,BAGO,8,,,,,,,,,,,,,,,,,,
11977,BAGO,8,,,,,,,,,,,,,,,,,,
823,BAGO,8,,,,,,,,,,,,,,,,,,
13772,BAGO,8,,,,,,,,,,,,,,,,,,
11112,BAGO,8,,,,,,,,,,,,,,,,,,
4285,BAGO,8,,,,,,,,,,,,,,,,,,
264,BAGO,8,,,,,,,,,,,,,,,,,,
139,BAGO,8,,,,,,,,,,,,,,,,,,
10937,BAGO,8,,,,,,,,,,,,,,,,,,
8039,BAGO,8,,,,,,,,,,,,,,,,,,
7986,BAGO,8,,,,,,,,,,,,,,,,,,
2487,BAGO,8,,,,,,,,,,,,,,,,,,
4657,BAGO,8,,,,,,,,,,,,,,,,,,
10867,BAGO,8,,,,,,,,,,,,,,,,,,
10109,BAGO,8,,,,,,,,,,,,,,,,,,
9174,BAGO,8,,,,,,,,,,,,,,,,,,
347,BAGO,8,,,,,,,,,,,,,,,,,,
372,BAGO,8,,,,,,,,,,,,,,,,,,
642,BAGO,8,,,,,,,,,,,,,,,,,,
239,BAGO,8,,,,,,,,,,,,,,,,,,
561,BAGO,8,,,,,,,,,,,,,,,,,,
225,BAGO,8,,,,,,,,,,,,,,,,,,
5714,BAGO,8,,,,,,,,,,,,,,,,,,
9712,BAGO,8,,,,,,,,,,,,,,,,,,
1318,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
14311,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
10721,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13808,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13696,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13446,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13380,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
12958,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13175,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
8569,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13174,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
14329,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13233,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
2600,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
10688,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
11896,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
12312,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
14188,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13143,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13143,PETRIZZIO,9,,,,,,,,,,,,,,,,,,
13142,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
10886,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12283,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
13143,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12350,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
13234,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
7917,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12804,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12266,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12282,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12917,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
13558,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
11292,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
12259,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
3525,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2263,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2247,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2765,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2586,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
6707,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2598,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
85105,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
8509,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
6463,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
2598,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
4694,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
4292,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
9821,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
8598,PETRIZZIO,10,,,,,,,,,,,,,,,,,,
9822,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
6332,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
1556,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
9836,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2598 MICA,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2597,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2598,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
4324,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
4336,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
1860,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
4012,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2259,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
3564,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
5302,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
3530,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
9835,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2875,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2581,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
7958,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
12263,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
12366,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
11722,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
14887,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
10795,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
11774,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
15344,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
8198,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
3329,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
3328,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
1860,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
1860 1 PL,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
2480,PETRIZZIO,11,,,,,,,,,,,,,,,,,,
6130,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
2411,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
8604,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
4989,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
4555,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
9273,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
10337,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
8421,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
6208,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
6037,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
10334,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
46219 OT,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
3642,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
8835,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
8514,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
3815,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
43861 OT,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
4011,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
9826,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
5881,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
9890,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
9890 VENTANA,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
6664,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
9560,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
8611,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
10690,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
10377,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
12970,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
13978,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
13805,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
6195,PETRIZZIO,12,,,,,,,,,,,,,,,,,,
1083,VIÑA ODF JELL,13,,,,,,,,,,,,,,,,,,
2233,BAGO,13,,,,,,,,,,,,,,,,,,
10007,NOVA VERDE,13,,,,,,,,,,,,,,,,,,
9756,NOVA VERDE,13,,,,,,,,,,,,,,,,,,
6985,CIA PISQUERA,13,,,,,,,,,,,,,,,,,,
11147,DENTAID,13,,,,,,,,,,,,,,,,,,
12827,TARAPACA ,13,,,,,,,,,,,,,,,,,,
545,ALPE,13,,,,,,,,,,,,,,,,,,
8774,SALMONES MULT X,13,,,,,,,,,,,,,,,,,,
13649,SANTA RITA,13,,,,,,,,,,,,,,,,,,
12532,MICA,13,,,,,,,,,,,,,,,,,,
1265,ELANCO,13,,,,,,,,,,,,,,,,,,
12050,ALIMENTOS AGRO,13,,,,,,,,,,,,,,,,,,
11068,ELANCO,13,,,,,,,,,,,,,,,,,,
4452,CORBAC FOODS,13,,,,,,,,,,,,,,,,,,
14706,FRESENIUS KABI,13,,,,,,,,,,,,,,,,,,
2790,ALPES CHEMIE,13,,,,,,,,,,,,,,,,,,
12036,FRUSAN,13,,,,,,,,,,,,,,,,,,
29105,PHARMAIN,13,,,,,,,,,,,,,,,,,,
12477,SALMONES MULT X,13,,,,,,,,,,,,,,,,,,
1736,VIÑA ODF JELL,13,,,,,,,,,,,,,,,,,,
17340,SOUTH WIND,44,,,,,,,,,,,,,,,,,,
17333,AXIS LOGISTICA,44,,,,,,,,,,,,,,,,,,
17354,NOVARTIS,43,,,,,,,,,,,,,,,,,,
17342,NOVARTIS,44,,,,,,,,,,,,,,,,,,
17242,CANTABRIA,44,,,,,,,,,,,,,,,,,,
17207,SALMONES MULT X,44,,,,,,,,,,,,,,,,,,
17315,CAFE DO BRASIL,43,,,,,,,,,,,,,,,,,,
16835,PERNOD,13,,,,,,,,,,,,,,,,,,
17190,SOUTH WIND,44,,,,,,,,,,,,,,,,,,
17329,NOVARTIS,43,,,,,,,,,,,,,,,,,,
17275,DUCASSE,44,,,,,,,,,,,,,,,,,,
17323,SYNTHON,44,,,,,,,,,,,,,,,,,,
17302,SALMONES MULT X,43,,,,,,,,,,,,,,,,,,
17344,NOVARTIS,44,,,,,,,,,,,,,,,,,,
17345,GADOR,44,,,,,,,,,,,,,,,,,,
17448,BARON PHILLIPE,44,,,,,,,,,,,,,,,,,,
17477,GARDEN,44,,,,,,,,,,,,,,,,,,
17417,BLUNDING,44,,,,,,,,,,,,,,,,,,
17456,GENOMMA,13,,,,,,,,,,,,,,,,,,
8774,SALMONES MULT X,14,,,,,,,,,,,,,,,,,,
17713,KNOP,44,,,,,,,,,,,,,,,,,,
10036,QUILLAYES,14,,,,,,,,,,,,,,,,,,
4753,MICA DIAGEO,14,,,,,,,,,,,,,,,,,,
7440,CIA PISQUERA,14,,,,,,,,,,,,,,,,,,
6381,ELANCO,14,,,,,,,,,,,,,,,,,,
2465,VALDIVIESO,14,,,,,,,,,,,,,,,,,,
7992,ELANCO,14,,,,,,,,,,,,,,,,,,
14972,CHILEXPRESS,14,,,,,,,,,,,,,,,,,,
10966,CIA PISQUERA,14,,,,,,,,,,,,,,,,,,
12642,ODF JELL,14,,,,,,,,,,,,,,,,,,
9834,NOVA VERDE,14,,,,,,,,,,,,,,,,,,
14054,JOHNSON,14,,,,,,,,,,,,,,,,,,
12646,ALPES CHEMIE,14,,,,,,,,,,,,,,,,,,
10888,KNOP,14,,,,,,,,,,,,,,,,,,
3163,SOC EL ROSARIO,14,,,,,,,,,,,,,,,,,,
6330,LABOMED,14,,,,,,,,,,,,,,,,,,
6322,BARON PHILIPP,14,,,,,,,,,,,,,,,,,,
4528,DIAGEO,14,,,,,,,,,,,,,,,,,,
12830,FOSFORO,14,,,,,,,,,,,,,,,,,,
4773,CERVECERIA CHILENA,14,,,,,,,,,,,,,,,,,,
11607,DACCARETT,14,,,,,,,,,,,,,,,,,,
10887,KNOP,14,,,,,,,,,,,,,,,,,,
6576,VIÑA ODF JELL,14,,,,,,,,,,,,,,,,,,
17913,PETRIZZIO,44,,,,,,,,,,,,,,,,,,
17891,GENOMMA,44,,,,,,,,,,,,,,,,,,
2947,NOVARTIS,14,,,,,,,,,,,,,,,,,,
17886,LABOMED,44,,,,,,,,,,,,,,,,,,
17840,GARDEN,44,,,,,,,,,,,,,,,,,,
17861,FARET,44,,,,,,,,,,,,,,,,,,
14124,PERNOD,14,,,,,,,,,,,,,,,,,,
17464,GENOMMA,43,,,,,,,,,,,,,,,,,,
17476,PETRIZZIO,43,,,,,,,,,,,,,,,,,,
17454,VIÑA KOYLE,43,,,,,,,,,,,,,,,,,,
17447,SAVAL,43,,,,,,,,,,,,,,,,,,
17451,SANITAS,43,,,,,,,,,,,,,,,,,,
17412,BLUNDING,43,,,,,,,,,,,,,,,,,,
17441,KNOP,43,,,,,,,,,,,,,,,,,,
17415,CHILE,43,,,,,,,,,,,,,,,,,,
17390,CAFE DO BRASIL,15,,,,,,,,,,,,,,,,,,
17414,FAGASE,43,,,,,,,,,,,,,,,,,,
17384,GENOMMA,43,,,,,,,,,,,,,,,,,,
17285,PETRIZZIO,15,,,,,,,,,,,,,,,,,,
17370,ECOTERRA,43,,,,,,,,,,,,,,,,,,
17376,AXON PHARMA,43,,,,,,,,,,,,,,,,,,
14110,CARNES NUBLE,15,,,,,,,,,,,,,,,,,,
4767,MICA DESA,15,,,,,,,,,,,,,,,,,,
6704,QUILLAYES,15,,,,,,,,,,,,,,,,,,
1623,BAGO,15,,,,,,,,,,,,,,,,,,
10210,DACCARETT,15,,,,,,,,,,,,,,,,,,
8342,BLUNDING,15,,,,,,,,,,,,,,,,,,
12586,CIA PISQUERA,15,,,,,,,,,,,,,,,,,,
13656,AG SERVICIOS,15,,,,,,,,,,,,,,,,,,
6292,CHOCOBLAN,15,,,,,,,,,,,,,,,,,,
14444,SAN PEDRO,15,,,,,,,,,,,,,,,,,,
9002,NOVA VERDE,15,,,,,,,,,,,,,,,,,,
5867,DESA,15,,,,,,,,,,,,,,,,,,
10143,RECALCINE,15,,,,,,,,,,,,,,,,,,
14694,MGF,15,,,,,,,,,,,,,,,,,,
8933,CASAS PATRONALES,15,,,,,,,,,,,,,,,,,,
11795,ALPES CHEMIE,15,,,,,,,,,,,,,,,,,,
11264,BARON PHILIPP,15,,,,,,,,,,,,,,,,,,
6164,ETAL,15,,,,,,,,,,,,,,,,,,
17500,NOVARTIS,43,,,,,,,,,,,,,,,,,,
10596,DAVIS,16,,,,,,,,,,,,,,,,,,
8748,DAVIS,16,,,,,,,,,,,,,,,,,,
10382,DAVIS,16,,,,,,,,,,,,,,,,,,
10608,DAVIS,16,,,,,,,,,,,,,,,,,,
9757,DAVIS,16,,,,,,,,,,,,,,,,,,
9937,DAVIS,16,,,,,,,,,,,,,,,,,,
9768,DAVIS,16,,,,,,,,,,,,,,,,,,
9794,DAVIS,16,,,,,,,,,,,,,,,,,,
12202,DAVIS,16,,,,,,,,,,,,,,,,,,
8763,DAVIS,16,,,,,,,,,,,,,,,,,,
4257,DAVIS,16,,,,,,,,,,,,,,,,,,
14230,DAVIS,16,,,,,,,,,,,,,,,,,,
14223,DAVIS,16,,,,,,,,,,,,,,,,,,
10569,DAVIS,16,,,,,,,,,,,,,,,,,,
10611,DAVIS,16,,,,,,,,,,,,,,,,,,
8923,DAVIS,16,,,,,,,,,,,,,,,,,,
10597,DAVIS,16,,,,,,,,,,,,,,,,,,
11855,DAVIS,16,,,,,,,,,,,,,,,,,,
10542,DAVIS,16,,,,,,,,,,,,,,,,,,
2677,DAVIS,16,,,,,,,,,,,,,,,,,,
2708,DAVIS,16,,,,,,,,,,,,,,,,,,
2313,DAVIS,16,,,,,,,,,,,,,,,,,,
3825,DAVIS,16,,,,,,,,,,,,,,,,,,
3012,DAVIS,16,,,,,,,,,,,,,,,,,,
4246,DAVIS,16,,,,,,,,,,,,,,,,,,
17536,GRANJA VITAL,42,,,,,,,,,,,,,,,,,,
16811,LOGISTICS,42,,,,,,,,,,,,,,,,,,
17552,BIOSANO,42,P003782,,,,,,,,,,,,,,,,,
17514,AXIS LOGISTICA,42,,,,,,,,,,,,,,,,,,
17533,FARET,42,,,,,,,,,,,,,,,,,,
4993,DAVIS,17,,,,,,,,,,,,,,,,,,
2995,DAVIS,17,,,,,,,,,,,,,,,,,,
10696,DAVIS,17,,,,,,,,,,,,,,,,,,
1095,DAVIS,17,,,,,,,,,,,,,,,,,,
2822,DAVIS,17,,,,,,,,,,,,,,,,,,
10695,DAVIS,17,,,,,,,,,,,,,,,,,,
10671,DAVIS,17,,,,,,,,,,,,,,,,,,
2919,DAVIS,17,,,,,,,,,,,,,,,,,,
13609,DAVIS,17,,,,,,,,,,,,,,,,,,
1850,DAVIS,17,,,,,,,,,,,,,,,,,,
10547,DAVIS,17,,,,,,,,,,,,,,,,,,
12139,DAVIS,17,,,,,,,,,,,,,,,,,,
1616,DAVIS,17,,,,,,,,,,,,,,,,,,
9745,DAVIS,17,,,,,,,,,,,,,,,,,,
5836,DAVIS,17,,,,,,,,,,,,,,,,,,
6608,DAVIS,17,,,,,,,,,,,,,,,,,,
2049,DAVIS,17,,,,,,,,,,,,,,,,,,
14752,DAVIS,17,,,,,,,,,,,,,,,,,,
5629,DAVIS,17,,,,,,,,,,,,,,,,,,
13374,DAVIS,17,,,,,,,,,,,,,,,,,,
7635,DAVIS,17,,,,,,,,,,,,,,,,,,
8004,DAVIS,17,,,,,,,,,,,,,,,,,,
5395,DAVIS,17,,,,,,,,,,,,,,,,,,
5428,DAVIS,17,,,,,,,,,,,,,,,,,,
12435,DAVIS,17,,,,,,,,,,,,,,,,,,
12302,DAVIS,17,,,,,,,,,,,,,,,,,,
1096,DAVIS,17,,,,,,,,,,,,,,,,,,
2764,DAVIS,18,,,,,,,,,,,,,,,,,,
3818,DAVIS,18,,,,,,,,,,,,,,,,,,
2680,DAVIS,18,,,,,,,,,,,,,,,,,,
4936 MICA,DAVIS,18,,,,,,,,,,,,,,,,,,
5922,DAVIS,18,,,,,,,,,,,,,,,,,,
13303,DAVIS,18,,,,,,,,,,,,,,,,,,
10813,DAVIS,18,,,,,,,,,,,,,,,,,,
11472,DAVIS,18,,,,,,,,,,,,,,,,,,
10406,DAVIS,18,,,,,,,,,,,,,,,,,,
11344,DAVIS,18,,,,,,,,,,,,,,,,,,
3498,DAVIS,18,,,,,,,,,,,,,,,,,,
12298,DAVIS,18,,,,,,,,,,,,,,,,,,
4936,DAVIS,18,,,,,,,,,,,,,,,,,,
7410,DAVIS,18,,,,,,,,,,,,,,,,,,
10124,DAVIS,18,,,,,,,,,,,,,,,,,,
11998,DAVIS,18,,,,,,,,,,,,,,,,,,
10618,DAVIS,18,,,,,,,,,,,,,,,,,,
6604,DAVIS,18,,,,,,,,,,,,,,,,,,
10639,DAVIS,18,,,,,,,,,,,,,,,,,,
9399,DAVIS,18,,,,,,,,,,,,,,,,,,
7141,DAVIS,18,,,,,,,,,,,,,,,,,,
5202,DAVIS,18,,,,,,,,,,,,,,,,,,
6238,DAVIS,18,,,,,,,,,,,,,,,,,,
8865,DAVIS,18,,,,,,,,,,,,,,,,,,
3834,DAVIS,18,,,,,,,,,,,,,,,,,,
1174,DAVIS,18,,,,,,,,,,,,,,,,,,
6132,DAVIS,18,,,,,,,,,,,,,,,,,,
1862,DAVIS,18,,,,,,,,,,,,,,,,,,
2300,DAVIS,18,,,,,,,,,,,,,,,,,,
4006,DAVIS,18,,,,,,,,,,,,,,,,,,
9753,DAVIS,18,,,,,,,,,,,,,,,,,,
17509,BAGO,18,,,,,,,,,,,,,,,,,,
17539,PETRIZZIO,42,,,,,,,,,,,,,,,,,,
17449,NUTRICOM,42,,,,,,,,,,,,,,,,,,
17467,DAVIS,42,,,,,,,,,,,,,,,,,,
17461,DAVIS,18,,,,,,,,,,,,,,,,,,
17428,CAFE DO BRASIL,42,,,,,,,,,,,,,,,,,,
17523,NOVARTIS,42,,,,,,,,,,,,,,,,,,
1893,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
7804,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
7602,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
14291,RECALCINE,19,,,,,,,,,,,,,,,,,,
6465,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
5622,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
6567,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
6631,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4177,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
5759,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
6828,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4775,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4409,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
6829,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4503,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4304,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
11472,DAVIS,19,,,,,,,,,,,,,,,,,,
14798,DAVIS,19,,,,,,,,,,,,,,,,,,
14708,DAVIS,19,,,,,,,,,,,,,,,,,,
14678,DAVIS,19,,,,,,,,,,,,,,,,,,
1111,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
8485,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1187,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1172,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1996,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1637,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1675,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1171,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1126,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3739,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
2217,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
2238,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
2386,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
2217,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3207,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
2419,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3038,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
4163,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
5812,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
1209,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3949,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3143,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3665,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3627,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
5703,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
6026,SAN PEDRO,19,,,,,,,,,,,,,,,,,,
3133,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1027,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1713,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1622,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
3128,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1823,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1171,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
4208,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1149,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1456,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
4328,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1636,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1405,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1405,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1709,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
5431,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
4670,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
5770,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6547,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1024,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6280,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6076,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
3146,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6254,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
17131,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
5864,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6580,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
1110,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
3057,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
2773,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6557,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7131,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7757,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
5860,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6634,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
6803,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
5859,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7628,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7627,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7629,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7165,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
7032,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
8186,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
3132,SAN PEDRO,20,,,,,,,,,,,,,,,,,,
16708,DIAGEO,20,,,,,,,,,,,,,,,,,,
16087,DAVIS,20,,,,,,,,,,,,,,,,,,
12709,SALMONES,21,,,,,,,,,,,,,,,,,,
16766,NOVARTIS,21,,,,,,,,,,,,,,,,,,
13334,NOVARTIS,21,,,,,,,,,,,,,,,,,,
13747,SALMONES,21,,,,,,,,,,,,,,,,,,
14334,DIAGEO,21,,,,,,,,,,,,,,,,,,
16677,RECALCINE,21,,,,,,,,,,,,,,,,,,
15790,SALMONES,21,,,,,,,,,,,,,,,,,,
373,BAGO,21,,,,,,,,,,,,,,,,,,
15859,PERNOD,21,,,,,,,,,,,,,,,,,,
16545,NOVARTIS,21,,,,,,,,,,,,,,,,,,
16829,SAVAL,21,,,,,,,,,,,,,,,,,,
10882,CAROZZI,21,,,,,,,,,,,,,,,,,,
8722,NOVARTIS,21,,,,,,,,,,,,,,,,,,
16291,INNOVA,21,,,,,,,,,,,,,,,,,,
16616,KNOP,21,,,,,,,,,,,,,,,,,,
16841,CONCHA Y TORO,21,,,,,,,,,,,,,,,,,,
15367,PERNOD,21,,,,,,,,,,,,,,,,,,
16690,CHILE,21,,,,,,,,,,,,,,,,,,
